row_index,PSMILES,normalized_PSMILES_for_current_gate,Exp_Tg_K,source,polymer_class,reliability,current_pmsbp_density,representation_class,support_status,support_error
112,[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,*=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=*)C#N)ccc21,380.95,GREA,Polyesters,black,,,unsupported,ValueError
113,[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,*=Cc1ccc2c(c1)c1ccccc1n2CCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=*)C#N)ccc21,390.85,GREA,Polyesters,black,,,unsupported,ValueError
114,[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCCCCn3c4ccccc4c4cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc43)cc2)cc1,*=Cc1ccc2c(c1)c1ccccc1n2CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCCCCn3c4ccccc4c4cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=*)C#N)ccc43)cc2)cc1,395.15,GREA,Polyesters,black,,,unsupported,ValueError
115,[*]=NCCCCCCCCCCNC(=[*])C,*=NCCCCCCCCCCNC(=*)C,353.15,GREA,Polyimines,black,,,unsupported,ValueError
116,[*]=NCCCCCCCCCCNC(=[*])c1ccccc1,*=NCCCCCCCCCCNC(=*)c1ccccc1,283.15,GREA,Polyimines,black,,,unsupported,ValueError
117,[*]=NP(=NP(=NC(=[*])Oc1ccc(Br)cc1)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1,*=NP(=NP(=NC(=*)Oc1ccc(Br)cc1)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1,318.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
118,[*]=NP(=NP(=NC(=[*])Oc1ccc(C(=O)OC)cc1)(Oc1ccc(C(=O)OC)cc1)Oc1ccc(C(=O)OC)cc1)(Oc1ccc(C(=O)OC)cc1)Oc1ccc(C(=O)OC)cc1,*=NP(=NP(=NC(=*)Oc1ccc(C(=O)OC)cc1)(Oc1ccc(C(=O)OC)cc1)Oc1ccc(C(=O)OC)cc1)(Oc1ccc(C(=O)OC)cc1)Oc1ccc(C(=O)OC)cc1,325.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
119,[*]=NP(=NP(=NC(=[*])Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1,*=NP(=NP(=NC(=*)Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1,347.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
120,[*]=NP(=NP(=NC(=[*])Oc1ccc(C(C)(C)c2ccccc2)cc1)(Oc1ccc(C(C)(C)c2ccccc2)cc1)Oc1ccc(C(C)(C)c2ccccc2)cc1)(Oc1ccc(C(C)(C)c2ccccc2)cc1)Oc1ccc(C(C)(C)c2ccccc2)cc1,*=NP(=NP(=NC(=*)Oc1ccc(C(C)(C)c2ccccc2)cc1)(Oc1ccc(C(C)(C)c2ccccc2)cc1)Oc1ccc(C(C)(C)c2ccccc2)cc1)(Oc1ccc(C(C)(C)c2ccccc2)cc1)Oc1ccc(C(C)(C)c2ccccc2)cc1,328.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
121,[*]=NP(=NP(=NC(=[*])Oc1ccc(C(F)(F)F)cc1)(Oc1ccc(C(F)(F)F)cc1)Oc1ccc(C(F)(F)F)cc1)(Oc1ccc(C(F)(F)F)cc1)Oc1ccc(C(F)(F)F)cc1,*=NP(=NP(=NC(=*)Oc1ccc(C(F)(F)F)cc1)(Oc1ccc(C(F)(F)F)cc1)Oc1ccc(C(F)(F)F)cc1)(Oc1ccc(C(F)(F)F)cc1)Oc1ccc(C(F)(F)F)cc1,304.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
122,[*]=NP(=NP(=NC(=[*])Oc1ccc(OC)cc1)(Oc1ccc(OC)cc1)Oc1ccc(OC)cc1)(Oc1ccc(OC)cc1)Oc1ccc(OC)cc1,*=NP(=NP(=NC(=*)Oc1ccc(OC)cc1)(Oc1ccc(OC)cc1)Oc1ccc(OC)cc1)(Oc1ccc(OC)cc1)Oc1ccc(OC)cc1,310.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
123,[*]=NP(=NP(=NC(=[*])Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,*=NP(=NP(=NC(=*)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,291.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
124,[*]=NP(=NP(=NC(=[*])Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F,*=NP(=NP(=NC(=*)Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F,253.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
125,[*]=NP(=NP(=NS(=[*])(=O)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1,*=NP(=NP(=NS(=*)(=O)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1,355.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
126,[*]=NP(=NP(=NS(=[*])Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,*=NP(=NP(=NS(=*)Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,342.15,GREA,Polysulfides,black,,,unsupported,ValueError
127,[*]=NP(=NP(=NS(=[*])Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,*=NP(=NP(=NS(=*)Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,327.15,GREA,Polysulfides,black,,,unsupported,ValueError
128,[*]=NP(=NS(=O)(=NP(=[*])(NC)NC)NC)(NC)NC,*=NP(=NS(=O)(=NP(=*)(NC)NC)NC)(NC)NC,295.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
129,[*]=NP(=NS(=O)(=NP(=[*])(NCC)NCC)NCC)(NCC)NCC,*=NP(=NS(=O)(=NP(=*)(NCC)NCC)NCC)(NCC)NCC,277.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
130,[*]=NP(=NS(=O)(=NP(=[*])(NCC=C)NCC=C)NCC=C)(NCC=C)NCC=C,*=NP(=NS(=O)(=NP(=*)(NCC=C)NCC=C)NCC=C)(NCC=C)NCC=C,255.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
131,[*]=NP(=NS(=O)(=NP(=[*])(NCCC)NCCC)NCCC)(NCCC)NCCC,*=NP(=NS(=O)(=NP(=*)(NCCC)NCCC)NCCC)(NCCC)NCCC,279.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
132,[*]=NP(=NS(=O)(=NP(=[*])(NCCCC)NCCCC)NCCCC)(NCCCC)NCCCC,*=NP(=NS(=O)(=NP(=*)(NCCCC)NCCCC)NCCCC)(NCCCC)NCCCC,257.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
133,[*]=NP(=NS(=O)(=NP(=[*])(NCCCCCC)NCCCCCC)NCCCCCC)(NCCCCCC)NCCCCCC,*=NP(=NS(=O)(=NP(=*)(NCCCCCC)NCCCCCC)NCCCCCC)(NCCCCCC)NCCCCCC,255.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
134,[*]=NP(Cl)(Cl)=NP(Cl)(Cl)=NC(=[*])Cl,*=NP(Cl)(Cl)=NP(Cl)(Cl)=NC(=*)Cl,252.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
135,[*]=NP(Cl)(Cl)=NP(Cl)(Cl)=NS(=[*])(=O)F,*=NP(Cl)(Cl)=NP(Cl)(Cl)=NS(=*)(=O)F,217.15,GREA,Polyphosphazenes,black,,,unsupported,ValueError
136,[*]=NP(Cl)(Cl)=NP(Cl)(Cl)=NS(=[*])Cl,*=NP(Cl)(Cl)=NP(Cl)(Cl)=NS(=*)Cl,233.15,GREA,Polysulfides,black,,,unsupported,ValueError
137,[*]=NS(=NP(=NP(=[*])(Cl)Oc1cccc(-c2ccccc2)c1)(Oc1cccc(-c2ccccc2)c1)Oc1cccc(-c2ccccc2)c1)Oc1cccc(-c2ccccc2)c1,*=NS(=NP(=NP(=*)(Cl)Oc1cccc(-c2ccccc2)c1)(Oc1cccc(-c2ccccc2)c1)Oc1cccc(-c2ccccc2)c1)Oc1cccc(-c2ccccc2)c1,305.15,GREA,Polysulfides,black,,,unsupported,ValueError
138,[*]=NS(=NP(Cl)(=NP(=[*])(Cl)Oc1ccccc1-c1ccccc1)Oc1ccccc1-c1ccccc1)Oc1ccccc1-c1ccccc1,*=NS(=NP(Cl)(=NP(=*)(Cl)Oc1ccccc1-c1ccccc1)Oc1ccccc1-c1ccccc1)Oc1ccccc1-c1ccccc1,352.15,GREA,Polysulfides,black,,,unsupported,ValueError
139,[*]=Nc1ccc(/N=C(\C)c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc(C(=[*])C)cc5)cc4)cc3)cc2)cc1,*=Nc1ccc(/N=C(\C)c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc(C(=*)C)cc5)cc4)cc3)cc2)cc1,434.15,GREA,Polyoxides,black,,,unsupported,ValueError
140,[*]=Nc1ccc(/N=C(\C)c2ccc(Oc3ccc(C(c4ccccc4)(c4ccccc4)c4ccc(Oc5ccc(C(=[*])C)cc5)cc4)cc3)cc2)cc1,*=Nc1ccc(/N=C(\C)c2ccc(Oc3ccc(C(c4ccccc4)(c4ccccc4)c4ccc(Oc5ccc(C(=*)C)cc5)cc4)cc3)cc2)cc1,451.15,GREA,Polyoxides,black,,,unsupported,ValueError
141,[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(C(=[*])c3ccccc3)cc2)cc1,*=Nc1ccc(/N=C(\c2ccccc2)c2ccc(C(=*)c3ccccc3)cc2)cc1,452.15,GREA,Polyimines,black,,,unsupported,ValueError
142,[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(-c4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4)cc3)cc2)cc1,*=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(-c4ccc(Oc5ccc(C(=*)c6ccccc6)cc5)cc4)cc3)cc2)cc1,468.15,GREA,Polyoxides,black,,,unsupported,ValueError
143,[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(C(c4ccccc4)(c4ccccc4)c4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4)cc3)cc2)cc1,*=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(C(c4ccccc4)(c4ccccc4)c4ccc(Oc5ccc(C(=*)c6ccccc6)cc5)cc4)cc3)cc2)cc1,471.15,GREA,Polyoxides,black,,,unsupported,ValueError
144,[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(Oc4ccc(C(=[*])c5ccccc5)cc4)cc3)cc2)cc1,*=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(Oc4ccc(C(=*)c5ccccc5)cc4)cc3)cc2)cc1,449.15,GREA,Polyoxides,black,,,unsupported,ValueError
145,[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4c3)cc2)cc1,*=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc4ccc(Oc5ccc(C(=*)c6ccccc6)cc5)cc4c3)cc2)cc1,444.15,GREA,Polyoxides,black,,,unsupported,ValueError
146,[*]=Nc1ccc(Cc2ccc(NC(=[*])C)cc2)cc1,*=Nc1ccc(Cc2ccc(NC(=*)C)cc2)cc1,415.15,GREA,Polyimines,black,,,unsupported,ValueError
147,[*]=Nc1ccc(Cc2ccc(NC(=[*])CC)cc2)cc1,*=Nc1ccc(Cc2ccc(NC(=*)CC)cc2)cc1,403.15,GREA,Polyimines,black,,,unsupported,ValueError
148,[*]=Nc1ccc(Cc2ccc(NC(=[*])CCC)cc2)cc1,*=Nc1ccc(Cc2ccc(NC(=*)CCC)cc2)cc1,383.15,GREA,Polyimines,black,,,unsupported,ValueError
149,[*]=Nc1ccc(Cc2ccc(NC(=[*])CCCC)cc2)cc1,*=Nc1ccc(Cc2ccc(NC(=*)CCCC)cc2)cc1,379.15,GREA,Polyimines,black,,,unsupported,ValueError
150,[*]=Nc1ccc(Cc2ccc(NC(=[*])c3ccccc3)cc2)cc1,*=Nc1ccc(Cc2ccc(NC(=*)c3ccccc3)cc2)cc1,431.15,GREA,Polyimines,black,,,unsupported,ValueError
151,[*]=Nc1ccc(N=C(C=CC(=[*])c2ccccc2)c2ccccc2)cc1,*=Nc1ccc(N=C(C=CC(=*)c2ccccc2)c2ccccc2)cc1,430.15,GREA,Polyimines,black,,,unsupported,ValueError
152,[*]=Nc1ccc(Oc2ccc(/N=C(\C)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C(=[*])C)cc6)cc5)cc4)cc3)cc2)cc1,*=Nc1ccc(Oc2ccc(/N=C(\C)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C(=*)C)cc6)cc5)cc4)cc3)cc2)cc1,414.15,GREA,Polyoxides,black,,,unsupported,ValueError
153,[*]=Nc1ccc(Oc2ccc(/N=C(\C)c3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc(Oc6ccc(C(=[*])C)cc6)cc5)cc4)cc3)cc2)cc1,*=Nc1ccc(Oc2ccc(/N=C(\C)c3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc(Oc6ccc(C(=*)C)cc6)cc5)cc4)cc3)cc2)cc1,423.15,GREA,Polyoxides,black,,,unsupported,ValueError
154,[*]=Nc1ccc(Oc2ccc(/N=C(\c3ccccc3)c3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc(Oc6ccc(C(=[*])c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,*=Nc1ccc(Oc2ccc(/N=C(\c3ccccc3)c3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc(Oc6ccc(C(=*)c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,450.15,GREA,Polyoxides,black,,,unsupported,ValueError
155,[*]=Nc1ccc(Oc2ccc(/N=C(\c3ccccc3)c3ccc(Oc4ccc5ccc(Oc6ccc(C(=[*])c7ccccc7)cc6)cc5c4)cc3)cc2)cc1,*=Nc1ccc(Oc2ccc(/N=C(\c3ccccc3)c3ccc(Oc4ccc5ccc(Oc6ccc(C(=*)c7ccccc7)cc6)cc5c4)cc3)cc2)cc1,438.15,GREA,Polyoxides,black,,,unsupported,ValueError
156,[*]=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(/N=C5/OC(=O)c6ccc(C(=O)c7ccc8c(c7)C(=[*])OC8=O)cc65)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,*=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(/N=C5/OC(=O)c6ccc(C(=O)c7ccc8c(c7)C(=*)OC8=O)cc65)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,521.15,GREA,Polyoxides,black,,,unsupported,ValueError
157,[*]=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N=C5OC(=O)c6cc7c(cc65)C(=[*])OC7=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,*=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N=C5OC(=O)c6cc7c(cc65)C(=*)OC7=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,560.15,GREA,Polyoxides,black,,,unsupported,ValueError
158,[*]=Nc1ccc(Oc2ccc(N=C(c3ccccc3)c3ccc(Oc4ccc(-c5ccc(Oc6ccc(C(=[*])c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,*=Nc1ccc(Oc2ccc(N=C(c3ccccc3)c3ccc(Oc4ccc(-c5ccc(Oc6ccc(C(=*)c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,447.15,GREA,Polyoxides,black,,,unsupported,ValueError
159,[*]=Nc1ccc(Oc2ccc(N=C(c3ccccc3)c3ccc(Oc4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4)cc3)cc2)cc1,*=Nc1ccc(Oc2ccc(N=C(c3ccccc3)c3ccc(Oc4ccc(Oc5ccc(C(=*)c6ccccc6)cc5)cc4)cc3)cc2)cc1,435.15,GREA,Polyoxides,black,,,unsupported,ValueError
160,[*]=Nc1ccc(Oc2cccc(N=C3OC(=O)c4ccc(C(=O)c5ccc6c(c5)C(=[*])OC6=O)cc43)c2)cc1,*=Nc1ccc(Oc2cccc(N=C3OC(=O)c4ccc(C(=O)c5ccc6c(c5)C(=*)OC6=O)cc43)c2)cc1,526.15,GREA,Polyoxides,black,,,unsupported,ValueError
161,[*]=Nc1cccc(/N=C(/C=C/C(=[*])c2ccccc2)c2ccccc2)c1,*=Nc1cccc(/N=C(/C=C/C(=*)c2ccccc2)c2ccccc2)c1,451.15,GREA,Polyimines,black,,,unsupported,ValueError
162,[*]=Nc1cccc(/N=C(\c2ccccc2)c2ccc(C(=[*])c3ccccc3)cc2)c1,*=Nc1cccc(/N=C(\c2ccccc2)c2ccc(C(=*)c3ccccc3)cc2)c1,452.15,GREA,Polyimines,black,,,unsupported,ValueError
163,[*]=Nc1cccc(Oc2cccc(Oc3cccc(N=C4OC(=O)c5ccc(C(=O)c6ccc7c(c6)C(=[*])OC7=O)cc54)c3)c2)c1,*=Nc1cccc(Oc2cccc(Oc3cccc(N=C4OC(=O)c5ccc(C(=O)c6ccc7c(c6)C(=*)OC7=O)cc54)c3)c2)c1,463.15,GREA,Polyoxides,black,,,unsupported,ValueError
164,[*]=Nc1cccc(S(=O)(=O)c2cccc(/N=C3/OC(=O)c4ccc(Oc5ccc6c(c5)C(=O)OC6=[*])cc43)c2)c1,*=Nc1cccc(S(=O)(=O)c2cccc(/N=C3/OC(=O)c4ccc(Oc5ccc6c(c5)C(=O)OC6=*)cc43)c2)c1,463.15,GREA,Polyoxides,black,,,unsupported,ValueError
165,[*]C#CC#CC(C)OC(=O)c1ccc(C(=O)OC([*])C)cc1,*C#CC#CC(C)OC(=O)c1ccc(C(=O)OC(*)C)cc1,406.15,GREA,Polyesters,black,,,unsupported,ValueError
166,[*]C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc([*])c3n(CCCCCCCCCCCCCCCC)c12,*C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,340.15,GREA,Polyimines,black,,,unsupported,ValueError
167,[*]C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,*C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](*)(C)C,260.55,GREA,Polysiloxanes,black,,,unsupported,ValueError
168,[*]C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,*C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si](*)(C)C,257.05,GREA,Polysiloxanes,black,,,unsupported,ValueError
169,[*]C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,*C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si](*)(C)C,250.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
170,[*]C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc([*])c3n(CCCCCCCCCCCCCCCC)c12,*C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,353.15,GREA,Polyimines,black,,,unsupported,ValueError
171,[*]C#Cc1ccc(-c2nnc(-c3ccc(C#Cc4cc(OCCCCCCCC)c([*])cc4OCCCCCCCC)cc3)o2)cc1,*C#Cc1ccc(-c2nnc(-c3ccc(C#Cc4cc(OCCCCCCCC)c(*)cc4OCCCCCCCC)cc3)o2)cc1,403.15,GREA,Polyoxides,black,,,unsupported,ValueError
172,[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,*C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)cc1,351.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
173,[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,*C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)cc1,357.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
174,[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,*C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)cc1,369.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
175,[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,*C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)cc1,377.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
176,[*]C#Cc1ccc(C#C[Si](C)(C)O[Si]([*])(C)C)cc1,*C#Cc1ccc(C#C[Si](C)(C)O[Si](*)(C)C)cc1,399.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
177,[*]C#Cc1cccc(C#C[SiH]([*])C)c1,*C#Cc1cccc(C#C[SiH](*)C)c1,345.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
178,[*]C#Cc1cccc(C#C[Si]([*])(C)C)c1,*C#Cc1cccc(C#C[Si](*)(C)C)c1,323.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
179,[*]C(=C(Cl)Cl)c1ccc(OCOc2ccc([*])cc2)cc1,*C(=C(Cl)Cl)c1ccc(OCOc2ccc(*)cc2)cc1,381.15,GREA,Polyoxides,black,,,unsupported,ValueError
180,[*]C(=C)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc([*])cc4)cc3)cc2)cc1,*C(=C)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(*)cc4)cc3)cc2)cc1,440.15,GREA,Polyoxides,black,,,unsupported,ValueError
181,[*]C(=Nc1ccccc1)c1ccc(-c2ccc([*])cc2)cc1,*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,498.15,GREA,Polyphenylenes,black,,,unsupported,ValueError
182,[*]C(=Nc1ccccc1)c1ccc(Oc2ccc(Oc3cccc(Oc4ccc(Oc5ccc([*])cc5)cc4)n3)cc2)cc1,*C(=Nc1ccccc1)c1ccc(Oc2ccc(Oc3cccc(Oc4ccc(Oc5ccc(*)cc5)cc4)n3)cc2)cc1,408.15,GREA,Polyoxides,black,,,unsupported,ValueError
183,[*]C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)N(CCCCCCN([*])CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)N(CCCCCCN(*)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,460.65,GREA,Polyamides,black,,,unsupported,ValueError
184,[*]C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)N(CCCCCCN([*])CC(F)(F)C(F)(F)F)CC(F)(F)C(F)(F)F,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)N(CCCCCCN(*)CC(F)(F)C(F)(F)F)CC(F)(F)C(F)(F)F,447.15,GREA,Polyamides,black,,,unsupported,ValueError
185,[*]C(=O)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)N([*])[Li])C(F)(F)F,*C(=O)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)N(*)[Li])C(F)(F)F,340.15,GREA,Polyoxides,black,,,unsupported,ValueError
186,[*]C(=O)CCCCCCCCC(=O)N1CC(C)N([*])CC1C,*C(=O)CCCCCCCCC(=O)N1CC(C)N(*)CC1C,212.65,GREA,Polyamides,black,,,unsupported,ValueError
187,[*]C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc([*])cc2)cc1)c1ccc(Oc2ccccc2)cc1,*C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc(*)cc2)cc1)c1ccc(Oc2ccccc2)cc1,351.15,GREA,Polyimides,black,,,unsupported,ValueError
188,[*]C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc([*])cc2)cc1)c1cccc2ccccc12,*C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc(*)cc2)cc1)c1cccc2ccccc12,329.15,GREA,Polyimides,black,,,unsupported,ValueError
189,[*]C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc([*])cc2)cc1)c1ccccc1,*C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc(*)cc2)cc1)c1ccccc1,373.15,GREA,Polyimides,black,,,unsupported,ValueError
190,[*]C(=O)N(C(=O)c1ccc([*])cc1)c1ccccc1,*C(=O)N(C(=O)c1ccc(*)cc1)c1ccccc1,452.15,GREA,Polyimides,black,,,unsupported,ValueError
